View,ID,Name,Group Name,Common Name,Order,Notes,Transfer to ID,ID Key,Databased,Traditional,Modern,Active,
1,1,ACANTHACEAE,Dicots,null,LAMIALES,null,null,"1. Pneumatophores present (erect, aboveground, arising from subterranean roots below); leaf blade upper surface salt-excreting, densely gray-pubescent on the underside; Avicennioideae [S#736](Avicennia germinans)
1. Pneumatophores absent; leaf blade not salt-excreting, glabrate to pubescent on the underside; not a mangrove [2]
2. Leaf blades with cystoliths, or without cystoliths and anthers monothecous; seed subtended by a hooked, persistent retanicula; Acanthoideae [F#1](Key A)
2. Leaf blades without cystoliths; seed without a retinacula [3]
3. Vines or shrubs; inflorescence a fascicle, raceme, or solitary flower; flower subtended by clasping or connate foliaceous bracteoles; Thunbergioideae [G#1221](Thunbergia)
3. Herbs; inflorescence a many-flowered spike; flower not subtended by large foliaceous bracteoles; Nelsonioideae [4]
4. Leaves primarily basal and rosette-forming; peduncle with numerous stiff, clasping, scale-like bracts below the flower spike [S#3133](Elytraria caroliniensis)
4. Leaves cauline; peduncle lacking numerous scale-like bracts [S#4355](Nelsonia canescens)

1. (Key A) Leaves primarily basal and rosette-forming, without cystoliths; stamens 4, monothecous; Acantheae [S#596](Stenandrium dulce)
1. Leaves basal or caulilne, with or without a rosette, with cystoliths; stamens 2 or 4, if 4 then at least 2 bithecous [2]
2. Corolla with left-contort aestivation in bud; Ruellieae [F#1](Key B)
2. Corolla with quincuncial or ascending-cochlear aestivation [3]
3. Shrubs, sometimes with spines or prickly sepals; outer pair of sepals enlarged and foliaceous; corolla with quincuncial aestivation; Barlerieae [G#163](Barleria)
3. Herbs or shrubs, lacking spines or prickles; outer pair of sepals foliaceous or not; corolla with ascending-cochlear aestivation; Justicieae [F#1](Key C)

1. (Key B) Larger leaves >10 cm long; flower subtended by foliaceous bracts with pale surfaces and dark veins and edges; stamens 2, staminodes 2 [S#477](Eranthemum pulchellum)
1. Larger leaves 1-20 cm long; foliaceous bracts if present not as above; stamens 4 [2]
2. Anther thecae (at least one) with basal awns or appendages [G#450](Dyschoriste)
2. Anther thecae without basal awns or appendages [3]
3. Corolla bilabiate, usually <10 mm long; mostly of aquatic or hydric habitats, sometimes submerged [G#624](Hygrophila)
3. Corolla subactinomorphic, usually >10 mm long; mostly of xeric to hydric terrestrial habitats [G#1065](Ruellia)

1. (Key C) Shrubs; stamens 2, staminodes 2 [2]
1. Herbs, sometimes suffrutescent; stamens 2 and staminodes absent, or stamens 4, rarely stamens 2 and staminodes 2 [3]
2. Leaves often variegated; corolla bilabiate with the upper lobe erect and exserted and the lower lobes reflexed [S#396](Graptophyllum pictum)
2. Leaves not variegated; corolla salverform, the tube 15-25 mm long, the lobes 2-5 mm long [G#855](Odontonema)
3. Corolla 8-35 mm long; stamens 4 [G#150](Asystasia)
3. Corolla 2-50 mm long; stamens 2 [4]
4. Basal and proximal leaves petiolate, distal leaves often sessile to subsessile; corolla salverform, the tube much longer than the lobes [G#1011](Pseuderanthemum)
4. Leaves and petioles variable; corolla bilabiate, funnelform, or subsalverform and tube not much longer than the lobes [5]
5. Corolla resupinate with ca. 180 degree twist in corolla tube, the more heavily spotted and lobate lip positioned above, the 2 stamens held closer to the bottom of the flower [6]
5. Corolla not resupinate, the often lobate lip positioned below, the 2 stamens often held closer to the upper corolla part [7]
6. Leaves not variegated; anthers bithecous [G#425](Dicliptera)
6. Leaves often variegated; anthers monothecous [S#4217](Hypoestes phyllostachya)
7. Anther thecae unevenly attached with one theca above the other; corolla white, pink, purple, reddish, or orange [G#656](Justicia)
7. Anther thecae evenly attached and parallel; corolla white or mostly so [8]
8. Leaves 1-3 cm long; inflorescence of 1-3 axillary flowers [S#4331](Carlowrightia texana)
8. Leaves 4-12 cm long; inflorescence a spike with foliaceous bracts [S#2512](Yeatesia viridiflora)
",TRUE,null,null,TRUE,
2,2,ACERACEAE,Dicots,null,SAPINDALES,null,297,null,FALSE,null,null,FALSE,
4,4,ADIANTACEAE,Pteridophytes,null,POLYPODIALES,null,364,null,FALSE,null,null,FALSE,
5,5,ADOXACEAE,Dicots,null,DIPSACALES,null,508,"1. Leaves compound [S#2186](Sambucus nigra subsp. canadensis)
1. Leaves simple [G#1284](Viburnum)
",TRUE,null,null,TRUE,
6,6,AGAVACEAE,Monocots,null,ASPARAGALES,null,null,"1. Leaves chartaceous to coriaceous, lax [2]
1. Leaves fibrous or succulent, stiff [4]
2. Leaves petiolate, the blade ovate [F#6](Hosta)
2. Leaves sessile, linear [3]
3. Inflorescence arching-stoloniferous [S#4153](Chlorophytum comosum)
3. Inflorescence erect [G#1108](Schoenolirion)
4. Leaf tip with a conspicuous nigrescent, hardened terminal spine, distinctly unlike the rest of the blade [G#61](Agave)
4. Leaf tip without a hardened terminal spine, the tip typically relatively similar to the rest of the blade, sometimes withered or necrotic [5]
5. Leaf margin with fraying filaments or fibers [G#1307](Yucca)
5. Leaf margin without filaments [6]
6. Leaves few, usually <10; inflorescence spicate [S#3375](Agave virginica)
6. Leaves numerous, >10; inflorescence paniculate [7]
7. Leaves entire or with fine or stout marginal prickles; inflorescence sometimes bulbiliferous, much longer than the exceeding the leafy portion of stem; ovary inferior [G#528](Furcraea) 
7. Leaves entire to very finely denticulate; inflorescence not bulbiferous, shorter to not much longer than the leafy portion of stem; ovary superior [G#1307](Yucca)
",TRUE,null,null,TRUE,
359,359,AGDESTIDACEAE,Dicots,null,CARYOPHYLLALES,null,257,null,FALSE,null,null,FALSE,
7,7,AIZOACEAE,Dicots,null,CARYOPHYLLALES,null,null,"1. Leaves alternate [2]
1. Leaves opposite [3]
2. Leaves sessile or subsessile; ovay superior [S#322](Aizoon secundum)
2. Leave petiolate; ovary half-inferior [S#1881](Tetragonia tetragonoides)
3. Leaves connate-perfoliate at the base [S#326](Carpobrotus edulis)
3. Leaves sessile or petiolate, not perfoliate [4]
4. Showy, colorful petals and petaloid stamens numerous; ovary inferior [S#325](Aptenia cordifolia)
4. Flowers only with petaloid sepals, petals and petaloid stamens absent; ovary superior [5]
5. Leaves of a pair at a node equal to subequal in size [G#1323](Sesuvium)
5. Leaves of a pair at a node starkly unequal in size [6]
6. Leaf blade to 8 mm long, to 4 mm wide; ovary with 2(3) locules, 2(3) styles [S#139](Sesuvium humifusum)
6. Leaf blade to 40 mm long, to 30 mm wide; ovary with 1 locule, 1 style [S#3597](Trianthema portulacastrum)",TRUE,null,null,TRUE,
9,9,ALISMATACEAE,Monocots,null,ALISMATALES,null,null,"1. Flowers usually unisexual, the distal flowers male, the proximal flowers female; fruit compressed, often with a curved lateral wing [G#1078](Sagittaria)
1. Flowers all bisexual; fruit plump, ribbed, without a lateral wing [2]
2. Plant more than 10 cm tall, with submersed, sessile leaves usually present; leaf blades broadly lanceolate, ovate, or cordate; pistils 45-250 [G#453](Echinodorus)
2. Plant less than 10 cm tall with submersed leaves absent or petiolate; leaf blades linear-lanceolate; pistils 15-20 [S#585](Helanthium tenellum)
",TRUE,null,null,TRUE,
389,389,ALLIACEAE,Monocots,null,ASPARAGALES,null,null,"1. Flower solitary [S#1899](Ipheion uniflorum)
1. Flowers several in an umbel [2]
2. Inflorescence bracts 16-25 mm long; corolla, tepals pale pink to purple, connate forming a tube as long as the lobes, the lobes (7)10-16 mm long; cultivated only [F#389](Tulbaghia violacea)
2. Inflorescence bracts 6-18 mm long; tepals predominantly white, sometimes pinkish, or tepals absent (bulbils present), free or connate only at the very base, the tube scarcely discernible or to 1/3 of the tepal length [3]
3. Plant with garlic or onion-like odor; leaves 1-7 mm wide; tepals 4-9 mm long or absent (bulbils sometimes present); ovules or seeds 1-2 per locule [G#76](Allium)
3. Plant lacking a garlic or onion-like odor; leaves 2-15 mm wdie; tepals 8-15 mm long (bulbils absent); ovules or seeds 3-many per locule [G#851](Nothoscordum)
",TRUE,null,null,TRUE,
413,413,ALSTROEMERIACEAE,Monocots,null,LILIALES,null,null,null,TRUE,null,null,TRUE,
