barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
306738,null,s.n.,C. Werner,R. Mears,USA,Hernando Co.,Fabaceae,Acaciella,null,null,253650,null,null,null,FALSE,2125,null,angustissima,Mill.,Britton & Rose,North America,7/5/23,Annuteliga Unit.,null,"Sunny location on dirt forest road, with Glandularia canadensis, Sagretia minutiflora, and Ilex vomitoria.  Exposed limestone present.",Flower,null,null,null,null,Less than 1 m tall.,null,null,null,null,FALSE,Withlacoochee State Forest,null,null,null,null,
205417,null,292,C. vanHoek,S. Petty,USA,Sumter Co.,Euphorbiaceae,Acalypha,null,null,56150,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,North America,7/10/92,"Withlacoochee State Forest; bordering Withlacoochee River at Hog Island Recreation Area, ca. 2.5 mi. SE of Nobleton. T21S, R21E, Sec. 31.",1996,Edge of woods bordering river.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Croom Widlife Management Area,-82.25,W,28.6333,N,https://cdn.plantatlas.org/img/specimens/USF/205417.jpg
120369,null,2182,P. Genelle,G. Fleming,USA,Pasco Co.,Euphorbiaceae,Acalypha,null,null,56067,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,North America,8/9/75,May Place Road.,1996,"White sand; shaded, damp soil.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.172029,W,28.465832,N,https://cdn.plantatlas.org/img/specimens/USF/120369.jpg
104196,null,1704Cr,P. Genelle,G. Fleming,USA,Hernando Co.,Sapindaceae,Acer,null,null,7039,null,null,null,TRUE,2120,null,rubrum,L.,null,North America,1/8/73,Croom area.,1973,"River edge, low water, sand, Quercus, Juglans [?; not possible], Taxodium, Serenoa.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.227588,W,28.587772,N,https://cdn.plantatlas.org/img/specimens/USF/104196.jpg
108169,null,1911,P. Genelle,G. Fleming,USA,Hernando Co.,Asteraceae,Acmella,null,null,32125,null,null,null,TRUE,3354,null,repens,Walter,Pers.,North America,11/18/73,"Richloam section; Fire Tower Road, side road.",25-May,"Damp, sunny.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.1,W,28.5,N,https://cdn.plantatlas.org/img/specimens/USF/108169.jpg
302370,null,s.n.,C. Werner,,USA,Sumter Co.,Adiantaceae,Adiantum,null,null,244073,null,null,null,TRUE,null,null,hispdulum,Sw.,null,North America,12/10/19,"Richloam Tract, Baird Unit.",null,Mesic hammock with mature live oaks [Quercus virginiana] and rock ourcrop.,null,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.9998,W,28.5687,N,https://cdn.plantatlas.org/img/specimens/USF/302370.jpg
108376,null,1896,P. Genelle,G. Fleming,USA,Hernando Co.,Fabaceae,Aeschynomene,null,null,147,null,null,null,TRUE,2805,null,americana,L.,null,North America,11/18/73,Fire Tower Road.,1973,Roadside; rich loam section.,Flower,Fruit,null,null,null,Erect.,Very dense stand,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/108376.jpg
264332,null,10912,L. Baltzell,,USA,Citrus Co.,Orobanchaceae,Agalinis,null,null,100468,null,null,null,TRUE,2452,null,divaricata,,Pennell,North America,9/24/79,"S of FL 44, 7.5 mi. W of Inverness.",21-Jul-11,null,Fertile,null,null,null,null,Many scattered plants; flowers pink.,null,null,null,null,FALSE,Withlacoochee State Forest,-82.330372,W,28.835818,N,https://cdn.plantatlas.org/img/specimens/USF/264332.jpg
221090,null,970,C. vanHoek,S. Petty,USA,Citrus Co.,Orobanchaceae,Agalinis,null,null,109061,null,null,null,TRUE,4211,null,plukenetii,Elliott,Raf.,North America,9/20/97,"Citrus Wildlife Management area of the Withlacoochee State Forest; along TR [Forest Road] 14, between TRS 5 and 9.",1998,Disturbed sandhills.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.45,W,28.8667,N,https://cdn.plantatlas.org/img/specimens/USF/221090.jpg
206520,null,s.n.,S. Petty,,USA,Hernando Co.,Agavaceae,Agave,null,null,44719,null,null,null,TRUE,3375,null,virginica,L.,null,North America,9/16/92,"N of Old State Road 50. T23S, R22E, Sec. 8, NE¼.",22-Oct-17,"Moist, open rocky woods.",null,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/206520.jpg
