barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
306738,null,s.n.,C. Werner,R. Mears,USA,Hernando Co.,Fabaceae,Acaciella,null,null,253650,null,null,null,FALSE,2125,null,angustissima,Mill.,Britton & Rose,North America,7/5/2023,Annuteliga Unit.,null,"Sunny location on dirt forest road, with Glandularia canadensis, Sagretia minutiflora, and Ilex vomitoria.  Exposed limestone present.",Flower,null,null,null,null,Less than 1 m tall.,null,null,null,null,FALSE,Withlacoochee State Forest,null,null,null,null,
205417,null,292,C. vanHoek,S. Petty,USA,Sumter Co.,Euphorbiaceae,Acalypha,null,null,56150,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,North America,7/10/1992,"Withlacoochee State Forest; bordering Withlacoochee River at Hog Island Recreation Area, ca. 2.5 mi. SE of Nobleton. T21S, R21E, Sec. 31.",1996,Edge of woods bordering river.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Croom Widlife Management Area,-82.25,W,28.6333,N,https://cdn.plantatlas.org/img/specimens/USF/205417.jpg
253279,null,2683,J. M. Kunzer,,USA,Polk Co.,Euphorbiaceae,Acalypha,null,null,56074,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,North America,11/26/2008,"Ca. 2 km SSE of FL 471 bridge over the Withlacoochee River, ca. 5.2 km NNE of the junction FL 471 and US 98.",null,Exsiccated floodplain forest.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.04916667,W,28.295,N,https://cdn.plantatlas.org/img/specimens/USF/253279.jpg
48090,null,25449,O. K. Lakela,"J.S. Allen, G.R. Cooley, R. Lassiter, J.A. Lassiter",USA,Citrus Co.,Euphorbiaceae,Acalypha,null,null,56033,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,North America,10/21/1962,"Withlacoochee River, E of Pineola.",1996,"Grassy area; limestone formations, remnants of ancient fern grottoes and primary hammock association of notably large trees, Quercus, Ulmus and Carya spp. over outcrops; Distichum in marshy borders.",Fertile,null,null,null,null,Few.,null,null,null,null,FALSE,null,-82.2667,W,28.6833,N,https://cdn.plantatlas.org/img/specimens/USF/48090.jpg
120369,null,2182,P. Genelle,G. Fleming,USA,Pasco Co.,Euphorbiaceae,Acalypha,null,null,56067,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,North America,8/9/1975,May Place Road.,1996,"White sand; shaded, damp soil.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.172029,W,28.465832,N,https://cdn.plantatlas.org/img/specimens/USF/120369.jpg
55378,null,25916,O. K. Lakela,"R. Lassiter, J.A. Lassiter",USA,Citrus Co.,Sapindaceae,Acer,null,null,17166,null,null,null,TRUE,3408,null,negundo,L.,null,North America,5/6/1963,"Withlacoochee River, E of Pineola.",null,Limestone formations. Remnants of ancient fern grottoes and associations of notably large trees.,null,null,null,null,null,"Trees to 20 ft, tall, ca. 24 in. diameter; frequent, over rocks.",null,null,null,null,FALSE,null,-82.272868,W,28.688879,N,https://cdn.plantatlas.org/img/specimens/USF/55378.jpg
55470,null,26046,O. K. Lakela,"R. Lassiter, J.A. Lassiter",USA,Citrus Co.,Sapindaceae,Acer,null,null,17171,null,null,null,TRUE,3408,null,negundo,L.,null,North America,6/3/1963,"Withlacoochee River, E of Pineola.",null,Limestone formations. Remnants of ancient fern grottoes and associations of notably large trees.,Fruit,null,null,null,null,Large trees with dense foliage and full crowns. Fruits from fallen branch.,null,null,null,null,FALSE,null,-82.272868,W,28.688879,N,https://cdn.plantatlas.org/img/specimens/USF/55470.jpg
300778,null,442,C. F. Caudle,"M.L. Gilbert, M.S. Tisdale",USA,Polk Co.,Sapindaceae,Acer,null,null,238191,null,null,null,TRUE,2120,null,rubrum,L.,null,North America,6/19/1962,Withlacoochee River.,2020,Woods.,null,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/300778.jpg
300773,null,515,C. F. Caudle,"M.L. Gilbert, M.S. Tisdale",USA,Polk Co.,Sapindaceae,Acer,null,null,238192,null,null,null,TRUE,2120,null,rubrum,L.,null,North America,6/19/1962,Withlacoochee River.,2020,Woods.,null,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/300773.jpg
104196,null,1704Cr,P. Genelle,G. Fleming,USA,Hernando Co.,Sapindaceae,Acer,null,null,7039,null,null,null,TRUE,2120,null,rubrum,L.,null,North America,1/8/1973,Croom area.,1973,"River edge, low water, sand, Quercus, Juglans [?; not possible], Taxodium, Serenoa.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.227588,W,28.587772,N,https://cdn.plantatlas.org/img/specimens/USF/104196.jpg
161055,null,374,G. Robinson,null,USA,Sumter Co.,Asteraceae,Acmella,null,null,31973,null,null,null,TRUE,3354,null,repens,Walter,Pers.,North America,9/29/1981,"Along the Little Withlacoochee River, ca. 5 mi. SE of Tarrytown.  T23S< R23E, Sec. 9, NW¼.",Jan-25,Cypress [Taxodium] slough.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.05,W,28.55,N,https://cdn.plantatlas.org/img/specimens/USF/161055.jpg
247504,null,2528,J. M. Kunzer,"G. Dauphin, C. Eckert",USA,Polk Co.,Asteraceae,Acmella,null,null,31960,null,null,null,TRUE,3354,null,repens,Walter,Pers.,North America,9/26/2008,"Ca. 2.5 km SSE of FL 471 bridge over the Withlacoochee River, ca. 5.1 km NNE of the junction of FL 471 and US 98.  `",Jan-25,"Damp, disturbed area in flatwoods.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.04527778,W,28.29388889,N,https://cdn.plantatlas.org/img/specimens/USF/247504.jpg
108169,null,1911,P. Genelle,G. Fleming,USA,Hernando Co.,Asteraceae,Acmella,null,null,32125,null,null,null,TRUE,3354,null,repens,Walter,Pers.,North America,11/18/1973,"Richloam section; Fire Tower Road, side road.",May-25,"Damp, sunny.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.1,W,28.5,N,https://cdn.plantatlas.org/img/specimens/USF/108169.jpg
302370,null,s.n.,C. Werner,,USA,Sumter Co.,Adiantaceae,Adiantum,null,null,244073,null,null,null,TRUE,null,null,hispdulum,Sw.,null,North America,12/10/2019,"Richloam Tract, Baird Unit.",null,Mesic hammock with mature live oaks [Quercus virginiana] and rock ourcrop.,null,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.9998,W,28.5687,N,https://cdn.plantatlas.org/img/specimens/USF/302370.jpg
48037,null,25462,O. K. Lakela,"J.S. Allen, G.R. Cooley, R. Lassiter, J.A. Lassiter",USA,Citrus Co.,Pteridaceae,Adiantum,null,null,20858,null,null,null,TRUE,2812,null,tenerum,Sw.,null,North America,10/21/1962,Contact USF Herbarium if additional information is required,Oct-86,"Limestone formations; remnants of ancient fern grottoes and primary hammock association of notably large trees; Quercus, Ulmus, and Carya spp. over outcrops, Distichum [Taxodium distichum?] in marshy borders.",null,null,null,null,null,null,Occasional,null,null,null,TRUE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/48037.jpg
108376,null,1896,P. Genelle,G. Fleming,USA,Hernando Co.,Fabaceae,Aeschynomene,null,null,147,null,null,null,TRUE,2805,null,americana,L.,null,North America,11/18/1973,Fire Tower Road.,1973,Roadside; rich loam section.,Flower,Fruit,null,null,null,Erect.,Very dense stand,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/108376.jpg
264332,null,10912,L. Baltzell,,USA,Citrus Co.,Orobanchaceae,Agalinis,null,null,100468,null,null,null,TRUE,2452,null,divaricata,,Pennell,North America,9/24/1979,"S of FL 44, 7.5 mi. W of Inverness.",21-Jul-11,null,Fertile,null,null,null,null,Many scattered plants; flowers pink.,null,null,null,null,FALSE,Withlacoochee State Forest,-82.330372,W,28.835818,N,https://cdn.plantatlas.org/img/specimens/USF/264332.jpg
150745,null,s.n.,T. F. Rochow,,USA,Sumter Co.,Orobanchaceae,Agalinis,null,null,108714,null,null,null,TRUE,3224,null,fasciculata,Elliott,Raf.,North America,9/9/1980,"Green Swamp, near Little Withlacoochee River.",1998,Recently burned over pine flatwoods.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/150745.jpg
221090,null,970,C. vanHoek,S. Petty,USA,Citrus Co.,Orobanchaceae,Agalinis,null,null,109061,null,null,null,TRUE,4211,null,plukenetii,Elliott,Raf.,North America,9/20/1997,"Citrus Wildlife Management area of the Withlacoochee State Forest; along TR [Forest Road] 14, between TRS 5 and 9.",1998,Disturbed sandhills.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.45,W,28.8667,N,https://cdn.plantatlas.org/img/specimens/USF/221090.jpg
